Name,Date,Time,Status
amit shah,2026-02-27,,Absent
barack obama,2026-02-27,,Absent
colin powell,2026-02-27,,Absent
Dhruv,2026-02-27,,Absent
donald trump,2026-02-27,19:19:31,Present
joe biden,2026-02-27,19:19:31,Present
narendra modi,2026-02-27,,Absent
priyanshu,2026-02-27,,Absent
putin,2026-02-27,,Absent
rishi sunak,2026-02-27,,Absent
shivang,2026-02-27,19:19:31,Present
volodymyr zelensky,2026-02-27,,Absent
xi jinping,2026-02-27,,Absent
amit shah,2026-02-27,,Absent
barack obama,2026-02-27,,Absent
colin powell,2026-02-27,,Absent
Dhruv,2026-02-27,,Absent
donald trump,2026-02-27,19:30:51,Present
joe biden,2026-02-27,19:30:51,Present
narendra modi,2026-02-27,,Absent
priyanshu,2026-02-27,,Absent
putin,2026-02-27,,Absent
rishi sunak,2026-02-27,,Absent
shivang,2026-02-27,19:30:51,Present
volodymyr zelensky,2026-02-27,,Absent
xi jinping,2026-02-27,,Absent
