Name,Date,Time,Status
amit shah,28-10-2025,,Absent
barack obama,28-10-2025,,Absent
colin powell,28-10-2025,,Absent
Dhruv,28-10-2025,12:55:58,Present
donald trump,28-10-2025,,Absent
joe biden,28-10-2025,,Absent
narendra modi,28-10-2025,,Absent
priyanshu,28-10-2025,,Absent
putin,28-10-2025,,Absent
rishi sunak,28-10-2025,,Absent
shivang,28-10-2025,12:55:58,Present
volodymyr zelensky,28-10-2025,,Absent
xi jinping,28-10-2025,,Absent
amit shah,23-08-2026,,Absent
barack obama,23-08-2026,,Absent
colin powell,23-08-2026,,Absent
Dhruv,23-08-2026,17:20:25,Present
donald trump,23-08-2026,,Absent
joe biden,23-08-2026,,Absent
narendra modi,23-08-2026,,Absent
priyanshu,23-08-2026,,Absent
putin,23-08-2026,,Absent
rishi sunak,23-08-2026,,Absent
shivang,23-08-2026,17:20:25,Present
volodymyr zelensky,23-08-2026,,Absent
xi jinping,23-08-2026,,Absent
